Registration Group,Support Item ID,Support Item,Variant Description,Variant ID,Support Item Description,Unit of Measure,Quote,Price,Price Control,Support Categories,Support Category Number
Assist Personal Activities,50,Community Activities,Establishment Fee for Personal Care/Community Access,01_049_0107_1_1,Establishment Fee for Personal Care/Community Access (20 hours per month).,Each,N,,N,Assistance with daily life (includes Supported Independent Living),1
Assist Prod-Pers Care/Safety,60,Hoist and sling repairs,hoist repair- mobile or portable,01_501236025_0103_1_1,hoist repair- mobile or portable,Each,N,500,Y,Assistance with daily life (includes Supported Independent Living),1
Assist Prod-Pers Care/Safety,70,Incontinence alarm,incontinence alarms,03_050903053_0103_1_1,buzzer or similar used in continence training,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,80,Continence pack,continence package A - child annual amount,03_092403054_0103_1_1,"Indwelling catheters, bags, night bottle or bags and change kits.",Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,80,Continence pack,continence package A - adult annual amount,03_092403055_0103_1_1,"indwelling catheters, bags, night bottle or bags and change kits.",Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,80,Continence pack,continence package B - intermittent mild - annual amount,03_092406057_0103_1_1,3 per day intermittent catheters with gel and lubricant - annual amount.,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,80,Continence pack,continence package C - intermittent moderate annual amount,03_092406058_0103_1_1,4 per day intermittent catheters with gel and lubricant - annual amount.,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,80,Continence pack,continence package D - intermittent higher needs annual amount,03_092406059_0103_1_1,6 per day intermittent catheters with gel and lubricant - annual amount.,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,90,Catheter kit,adult intermittent catheters standard 3/day- annual,03_092406061_0103_1_1,adult intermittent catheters standard 3/day- annual,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,90,Catheter kit,adult intermittent catheters standard 4/day- annual,03_092406062_0103_1_1,adult intermittent catheters standard 4/day- annual,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,90,Catheter kit,adult intermittent catheters standard 6/day- annual,03_092406063_0103_1_1,adult intermittent catheters standard 6/day- annual,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,100,Continence kit,continence products urinary - other for child,03_092488056_0103_1_1,Individualised continence package or products not listed elsewhere in this list.,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,100,Continence kit,continence products urinary- other for adult,03_092489060_0103_1_1,continence products urinary- other for adult,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,100,Continence kit,continence package E- external,03_092718064_0103_1_1,"sheaths, leg bags, drain bag or bottle, straps- annual amount",Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,110,Child nappy,child nappy single-use 3/day - annual supply,03_093012065_0103_1_1,Nappy for a child's disability specific needs,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,110,Child nappy,child nappy single-use 4/day - annual supply,03_093012066_0103_1_1,Nappy for a child's disability specific needs,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,110,Child nappy,child nappy single-use 6/day - annual supply,03_093012067_0103_1_1,Nappy for a child's disability specific needs,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,110,Child nappy,child nappy single-use 12/day - annual supply,03_093012068_0103_1_1,Nappy for a child's disability specific needs,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,110,Child nappy,washable incontinence products for children,03_093015069_0103_1_1,washable incontinence products for children,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,120,Adult continence pad,single-use inserts / pads-adult 3/day - annual supply,03_093018070_0103_1_1,single-use inserts / pads-adult 3/day - annual supply,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,120,Adult continence pad,single-use inserts / pads-adult 4/day - annual supply,03_093018071_0103_1_1,single-use inserts / pads-adult 4/day - annual supply,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,120,Adult continence pad,single-use inserts / pads-adult 6/day - annual supply,03_093018072_0103_1_1,single-use inserts / pads-adult 6/day - annual supply,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,120,Adult continence pad,single-use inserts / pads-adult 12/day - annual supply,03_093018073_0103_1_1,single-use inserts / pads-adult 12/day - annual supply,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,130,Adult absorbent brief,adult absorbent pull up or brief 3/day- annual supply,03_093021074_0103_1_1,single-use diapers,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,130,Adult absorbent brief,adult absorbent pull up or brief 4/day- annual supply,03_093021075_0103_1_1,single-use diapers,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,130,Adult absorbent brief,adult absorbent pull up or brief 6/day- annual supply,03_093021076_0103_1_1,single-use diapers,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,130,Adult absorbent brief,adult absorbent pull up or brief 12/day- annual supply,03_093021077_0103_1_1,single-use diapers,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,130,Adult absorbent brief,washable incontinence pants for adults,03_093036132_0103_1_1,washable incontinence pants for adults,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,140,Home entereal nutrition kit,HEN pump accessory - items required for syringe feeding - annual,03_150930078_0103_1_1,"Pump often free on loan, includes gastrostomy, extension tubes, giving sets, containers and syringes.",Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,140,Home entereal nutrition kit,HEN pump with associated consumables (non-syringe feed) - annual,03_150930079_0103_1_1,Pump often free on loan but includes other consumables for people who do not also syringe feed,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,140,Home entereal nutrition kit,HEN bolus syringe only- annual,03_150930080_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,140,Home entereal nutrition kit,additional gastrostomy devices- 3 annual,03_150930081_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,150,Bolus feeding kit,additional extension sets for bolus feeding- 10 annual,03_150930082_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,150,Bolus feeding kit,additional extension sets for pump feeding- 10 annual,03_150930083_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,150,Bolus feeding kit,additional giving sets- 270 annual,03_150930084_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,150,Bolus feeding kit,additional containers- 50 annual,03_150930085_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,150,Bolus feeding kit,additional bolus syringes- 100 annual,03_150930086_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,150,Bolus feeding kit,additional water flush syringes- 100 annual,03_150930087_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,140,Home entereal nutrition kit,Other HEN equipment including additional cost of food when necessary.,03_150930088_0103_1_1,HEN equipment outside usual 12 month bundles,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,160,HEN equipment repairs,HEN equipment repairs,03_501509092_0103_1_1,HEN equipment repairs,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,170,Continence aids delivery,continence aids delivery - non metropolitan,03_710930093_0103_1_1,Delivery of continence items in regional and remote areas - expected maximum up to 4 deliveries per year.  Price guidance is per delivery.,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,170,Continence aids delivery,continence aids delivery - metropolitan,03_710930094_0103_1_1,Delivery of continence items in regional Metropolitan areas - expected maximum up to 4 deliveries per year. Price guidance is per Delivery.,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,140,Home entereal nutrition kit,HEN equipment delivery,03_711509095_0103_1_1,HEN equipment delivery,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,180,Cooling vest,"cooling vest- small, medium, large",05_043006001_0103_1_2,vest used for people with thermoregulatory problems,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,190,Postural relief mattress,pressure mattress air filled section,05_043306002_0103_1_2,pressure mattress air filled section,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,190,Postural relief mattress,pressure reduction mattress,05_043306003_0103_1_2,mattress with pressure reduction properties,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,190,Postural relief mattress,pressure reduction overlay,05_043306004_0103_1_2,"overlay with air or other substance, mechanical or not",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,190,Postural relief mattress,"pressure mattress - low air loss, alternating pressure",05_043306005_0103_1_2,"Mattress for very complex needs, usually for participants in bed for most of the day and night.",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,200,Postural relief chair,water chairs,05_043318006_0103_1_2,chairs with full pressure relief via water filled inserts,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,210,Standing frame,standing frame- child under 5,05_053603007_0103_1_2,apparatus to hold a person in a standing position,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,210,Standing frame,standing frame child over 5 or teen,05_053603008_0103_1_2,apparatus to hold a person in a standing position,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,210,Standing frame,standing frame adult,05_053603009_0103_1_2,apparatus to hold a person in a standing position,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,220,Helmet,helmets,05_090603045_0103_1_2,protective helmet for people with seizures or falls etc,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,230,Bedside commode,bedside commode adjustable folding,05_091203047_0103_1_2,bedside commode adjustable folding,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,230,Bedside commode,bedside commode adjustable height,05_091203048_0103_1_2,bedside commode adjustable height,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,230,Bedside commode,bedside commode extra wide,05_091203049_0103_1_2,bedside commode extra wide,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,230,Bedside commode,bedside commode bari 650mm w,05_091203050_0103_1_2,bedside commode bari 650mm w,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,240,Shower commode,mobile shower commode- self propel folding,05_091203052_0103_1_2,mobile shower commode- self propel folding,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,240,Shower commode,mobile shower commode- low transporter,05_091203053_0103_1_2,mobile shower commode- low transporter,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,240,Shower commode,mobile shower commode- bari transporter- 550w,05_091203054_0103_1_2,mobile shower commode- bari transporter- 550w,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,240,Shower commode,mobile shower commode- child transporter,05_091203055_0103_1_2,mobile shower commode- child transporter,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,240,Shower commode,mobile shower commode- child self propel,05_091203056_0103_1_2,mobile shower commode- child self propel,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,240,Shower commode,mobile shower commode- potty child,05_091203057_0103_1_2,mobile shower commode- potty child,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,240,Shower commode,mobile shower commode- potty junior,05_091203058_0103_1_2,mobile shower commode- potty junior,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,240,Shower commode,mobile shower commode- transporter slide hi,05_091203059_0103_1_2,mobile shower commode- transporter slide hi,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,240,Shower commode,mobile shower commode- specialised child with supports,05_091203060_0103_1_2,mobile shower commode- specialised child with supports,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,toilet surround adjustable,05_091212061_0103_1_2,toilet surround adjustable,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,toilet surround padded arms,05_091212062_0103_1_2,toilet surround padded arms,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,raised toilet seats fixed to toilet,05_091218063_0103_1_2,raised toilet seats fixed to toilet,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,seat toilet raise adjustable,05_091221064_0103_1_2,seat toilet raise adjustable,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,seat toilet raise adjustable wide,05_091221065_0103_1_2,seat toilet raise adjustable wide,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,seat toilet raise folding,05_091221066_0103_1_2,seat toilet raise folding,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,seat toilet raise,05_091221067_0103_1_2,seat toilet raise,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,arm and back supports mounted on toilet,05_091224068_0103_1_2,arm and back supports mounted on toilet,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,"arm supports and toilet back supports, free-standing",05_091225069_0103_1_2,"arm supports and toilet back supports, free-standing",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,260,Bath support,bathing care and grooming aids,05_093300317_0103_1_2,bathing care and grooming aids,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,260,Bath support,bath support for child under 5,05_093303078_0103_1_2,"Postural support inserted into a bath or placed on a stand, for a child unable to sit unaided safely.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,260,Bath support,bath support over 5 years,05_093303079_0103_1_2,"Postural support inserted into a bath or placed on a stand, for a participant unable to sit or recline unaided safely.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,260,Bath support,bathboard plastic no handle,05_093304076_0103_1_2,bathboard plastic no handle,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,260,Bath support,bath corner seat size 1,05_093305077_0103_1_2,bath corner seat size 1,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,270,Shower chair,chair shower adjustable with arms wide,05_093307070_0103_1_2,chair shower adjustable with arms wide,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,270,Shower chair,chair shower bariatric (>150kg),05_093307071_0103_1_2,chair shower bariatric (>150kg),Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,270,Shower chair,chair shower swivel type,05_093307072_0103_1_2,chair shower swivel type,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,270,Shower chair,stool shower adjustable,05_093307073_0103_1_2,stool shower adjustable,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,270,Shower chair,stool shower adjustable with arms  and/or back,05_093307074_0103_1_2,stool shower adjustable with arms  and/or back,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,270,Shower chair,specialised shower trolley,05_093312075_0103_1_2,specialised shower trolley,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,280,Change table,change table- electronic,05_093312080_0103_1_2,change table- electronic,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,280,Change table,change table manual,05_093312081_0103_1_2,change table manual,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,250,Toilet adaptation,bidets- detachable,05_093318082_0103_1_2,equipment attached to toilet with air and water dispenser for washing following toileting,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,260,Bath support,insert for reducing length or depth of a bathtub,05_093327083_0103_1_2,insert for reducing length or depth of a bathtub,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,260,Bath support,specialised seating for bathroom equipment,05_093330084_0103_1_2,custom made seating for shower commode or like bathroom item.,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,290,Bathing kits,personal care and safety equipment- other,05_098800044_0103_1_2,"Includes other reasonable and necessary personal care and safety equipment not listed, due to impact of participant's disability.",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,300,Bed sticks,bed sticks- standard,05_123109155_0103_1_2,bed sticks- standard,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,300,Bed sticks,bed sticks-townsend long,05_123109156_0103_1_2,bed sticks-townsend long,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,300,Bed sticks,bed pole for electric bed,05_123109157_0103_1_2,bed pole for electric bed,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,260,Bath support,bath transfer bench no back,05_123121160_0103_1_2,bath transfer bench no back,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,310,Household tools,one or more small devices to assist with food and drink preparations,05_150300318_0103_1_2,Includes adapted cooking utensils and basic appliances.,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,310,Household tools,one or more assistive products for eating and drinking,05_150900319_0103_1_2,"Adapted cups, spoons, cutlery and other assistive products for eating and drinking.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,320,Bed equipment and adaptation,over bed table,05_180315322_0103_1_2,over bed table,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,330,Postural relief seating,electric lift chairs- sit to stand,05_180903180_0103_1_2,Chairs with an in built mechanical or electric system to assist participant in movement to a standing position.,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,330,Postural relief seating,lounge chairs with moulded seating,05_180921181_0103_1_2,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,330,Postural relief seating,adult postural chair with pressure relief- air type,05_180939183_0103_1_2,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,330,Postural relief seating,child postural chair with pressure relief- air type,05_180939184_0103_1_2,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,330,Postural relief seating,"child postural chair- feeding, minimum components",05_180939185_0103_1_2,feeding seat for a child with basic supports,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,330,Postural relief seating,child postural chair with maximum components,05_180939186_0103_1_2,"feeding seat for a child with supports for head, body hips feet etc.",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,340,Powered bed,"beds - power adjust, estimate",05_181210197_0103_1_2,"beds - power adjust, estimate",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,340,Powered bed,beds - power adjust 4 section,05_181210198_0103_1_2,beds - power adjust 4 section,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,340,Powered bed,beds - power adjust- child suitable rails,05_181210199_0103_1_2,beds - power adjust- child suitable rails,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,350,Bed adaptation,beds - extra width or height power adjust,05_181210200_0103_1_2,beds - extra width or height power adjust,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,350,Bed adaptation,beds - hi lo with companion bed,05_181210201_0103_1_2,"hi-lo bed with second detachable bed for partner, detachment is to assist with care needs",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,350,Bed adaptation,bed blocks,05_181212202_0103_1_2,bed blocks,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,350,Bed adaptation,bed cradle- adjustable height,05_181221203_0103_1_2,bed cradle- adjustable height,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,350,Bed adaptation,sleep system,05_181224204_0103_1_2,Positioning cushions to help a participant maintain a consistent and optimal position while sleeping or resting.,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,350,Bed adaptation,bed rails covers,05_181227206_0103_1_2,bed rails covers,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,350,Bed adaptation,bed rails,05_181227207_0103_1_2,Rails which attach to a bed to prevent the participant falling out. Price guidance is for one bed rail.,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,350,Bed adaptation,beds - extensions,05_181233208_0103_1_2,beds - extensions,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,350,Bed adaptation,bed wedges (positioning),05_181288205_0103_1_2,bed wedges (positioning),Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,360,Adapted furniture,adapted furniture - other,05_188800051_0103_1_2,"includes therapy cushions, conductive education furniture, hand grips mounted on furniture etc",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,370,Bathing and toileting equipment repair,bathing and toileting equipment repair,05_500933306_0103_1_2,repairs to any toileting and bathing equipment,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,380,Powered bed and associated repairs,electric bed repair,05_501812311_0103_1_2,electric bed repair,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,390,Bathing and toileting equipment delivery,"toilet and bathroom equipment delivery, set up/ training",05_700912325_0103_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for participant's disability specific needs and or training.",Hour,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,400,Seating/standing equipment delivery and setup,seating/standing equipment delivery and setup,05_701809328_0103_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for participant's disability specific needs and or training.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,400,Seating/standing equipment delivery and setup,"seating/standing frame equipment delivery, set up/ training",05_701809338_0103_1_2,"equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,410,Bed and mattress equipment delivery and setup,"bed/ mattress equipment delivery, set up/ training",05_701812329_0103_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for the participant's disability specific needs and/or training in usage.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,420,Toilet and bathroom equipment delivery and setup,toilet and bathroom equipment delivery,05_710912335_0103_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,410,Bed and mattress equipment delivery and setup,bed/ mattress equipment delivery to a participant,05_711812339_0103_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,420,Toilet and bathroom equipment delivery and setup,toilet and bathroom equipment rental,05_800912344_0103_1_2,short term rental or hire of bathroom or toilet equipment,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,430,Bed and mattress equipment rental,bed and mattress rental,05_801812347_0103_1_2,weekly rate,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,440,Portable ramp,ramp portable fibre glass 1200mm,06_183015389_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
Assist Prod-Pers Care/Safety,440,Portable ramp,ramp portable fibre glass 1650mm,06_183015390_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
Assist Prod-Pers Care/Safety,440,Portable ramp,ramp portable fibre glass 1350mm,06_183015391_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
Assist Prod-Pers Care/Safety,440,Portable ramp,ramp portable fibre glass 2000mm,06_183015392_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,Y,,N,Home modifications,6
Assist Prod-Pers Care/Safety,440,Portable ramp,ramp portable fibre glass 2000mm with edge,06_183015393_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,Y,,N,Home modifications,6
Assist Prod-Pers Care/Safety,440,Portable ramp,ramp portable fibre glass 875mm,06_183015394_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
Assist Prod-Pers Care/Safety,440,Portable ramp,ramp portable fibre glass 700mm,06_183015395_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
"Assist-Life Stage, Transition",450,Support coordination assistance,support connection,07_001_0106_8_3,"Assistance to strengthen participant's abilities to coordinate supports & participate in the community. This includes resolving points of crisis, developing capacity & resilience in a participant's network & coordinating supports from a range of sources.",Hour,N,"56,61",Y,Coordination of Supports,7
